Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,Costa Rica,CRI,13.3888193115328,10.7063755786241,10.4059318294823,10.1322002760903,9.87397177793517,9.60067653994561,9.32020315140504,9.04755815402368,8.78136279171039,8.5483905045802,7.66455975643728,7.52080541915412,7.37723597370052,7.23151004511241,7.0903973593847,6.92692417123869,6.72377839697234,6.51341100172526
"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,Bolivia,BOL,15.621560249876,14.1462638923273,13.9467976640701,13.7652695510394,13.581160617873,13.4049600179569,13.2354589263701,13.0568429845816,12.8831544390827,12.7492352116512,11.7240044158682,11.5667464386504,11.4059694174419,11.2446137359009,11.0847331018176,10.9295685185346,10.7974090977626,10.692101588054
"Population ages 00-14, total",SP.POP.0014.TO,Argentina,ARG,9923135,10362154,10404492,10446623,10480859,10506597,10524279,10536490,10545212,10549195,10620844,10666195,10712909,10749948,10764622,10758123,10734508,10699429
"Population ages 00-14, total",SP.POP.0014.TO,Colombia,COL,11832459,12727166,12774954,12809248,12829133,12833250,12819709,12786194,12730950,12649819,11615886,11484897,11372905,11294432,11244835,11205870,11165204,11125504
"Population ages 00-14, total",SP.POP.0014.TO,Costa Rica,CRI,1124729,1230316,1230670,1228503,1223664,1215927,1206013,1195247,1184169,1173525,1113171,1105737,1098254,1092049,1086805,1080191,1070752,1059059
"Population ages 00-14, total",SP.POP.0014.TO,Bolivia,BOL,2884735,3230939,3268390,3303938,3337375,3368537,3396329,3421506,3444523,3467894,3649875,3667911,3685958,3703522,3719627,3734391,3748198,3759372
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Argentina,ARG,30.4039445969413,28.5985102887007,28.3864423108692,28.1802131806071,27.9635039480871,27.7328473929068,27.4942108965076,27.2480435226372,26.9902147785386,26.7224838516436,24.8909505962578,24.7292121561043,24.5763205280432,24.4068430876801,24.1931513494201,23.9395441152544,23.6563980592251,23.3567371619625
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Colombia,COL,36.2943362005166,33.5416059720726,33.1085721761596,32.6640411582921,32.2033554751603,31.7230293595206,31.2236504119637,30.7004227558704,30.1531645197857,29.574369964241,24.8851690071116,24.3738609866339,23.8796363886075,23.3589271750187,22.8196598526068,22.3280525563719,21.9223616028949,21.5959743198702
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Costa Rica,CRI,35.6123883025856,32.195244622976,31.5440620490436,30.8731608234585,30.1899044525683,29.4940017556784,28.792686739433,28.1049341733604,27.4374421758494,26.8039979703856,22.9790504838843,22.5880048422529,22.2084524301824,21.8679046982168,21.5604513152251,21.2446417137941,20.9004500200562,20.5484543235421
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Bolivia,BOL,40.6518649752152,38.9883742202177,38.729353798901,38.4507188464195,38.15850613829,37.8462568126155,37.4979215839286,37.124586831627,36.7322169030438,36.3409478224762,33.4329914731514,33.0737891966658,32.7262090689656,32.3860928744601,32.0466782488527,31.7083406408142,31.4020327472097,31.1219852986952
"Population ages 0-14, female",SP.POP.0014.FE.IN,Argentina,ARG,4857733,5062007,5081094,5100516,5116450,5128289,5136127,5141261,5144413,5144771,5166355,5187533,5209572,5227245,5234379,5231404,5220452,5204449
"Population ages 0-14, female",SP.POP.0014.FE.IN,Colombia,COL,5814156,6252049,6274626,6290447,6299059,6299761,6291615,6273642,6245174,6204136,5690063,5625542,5570334,5531882,5508007,5489346,5469585,5450187
"Population ages 0-14, female",SP.POP.0014.FE.IN,Costa Rica,CRI,549528,600545,600738,599712,597387,593640,588861,583708,578421,573349,544198,540630,537062,534138,531655,528469,523886,518183
"Population ages 0-14, female",SP.POP.0014.FE.IN,Bolivia,BOL,1416511,1584071,1602390,1619784,1636393,1652158,1666253,1678978,1690565,1702279,1792147,1800865,1809605,1818128,1825935,1833086,1839805,1845278
"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,Argentina,ARG,29.3091086892527,27.5557448490711,27.3463361037516,27.1448025516513,26.9338321163858,26.7079648110104,26.4769804946392,26.2419082518496,25.9932329039624,25.7331846394095,23.9593722763755,23.8052583088936,23.6593685177051,23.4994500331306,23.2975700545356,23.0563027423242,22.7857207896352,22.500326142524
"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,Colombia,COL,35.6263499115294,32.7571355387903,32.3128356535205,31.8580250005432,31.3882125434972,30.9001086253512,30.3947024372204,29.8676896401676,29.3193035560769,28.7410818144166,24.0927068627083,23.5897927378066,23.1057596716176,22.6002349665654,22.0798025102876,21.6047040579236,21.2072780991099,20.8808860839052
"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,Costa Rica,CRI,35.0800191509735,31.6517537854052,31.0055682106449,30.3408096886198,29.665881883222,28.9786628525682,28.2873831068608,27.6113306509216,26.9557155203408,26.3325191908299,22.5431192592143,22.1554008989119,21.7794117885605,21.4428644119338,21.1371618543118,20.8209818466635,20.4764307599464,20.121923753192
"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,Bolivia,BOL,39.9337440476912,38.5585145905381,38.33528511807,38.0873704679965,37.8115031661839,37.5032219145805,37.1571360381755,36.7845983782359,36.3922178971575,35.9997403028876,33.0433915226684,32.6748165691338,32.3184321174605,31.9699018761916,31.6223875423447,31.2764261031418,30.9529042992325,30.6477410032512
"Population ages 0-14, male",SP.POP.0014.MA.IN,Argentina,ARG,5065402,5300147,5323398,5346107,5364409,5378308,5388152,5395230,5400799,5404425,5454489,5478663,5503337,5522703,5530243,5526718,5514055,5494980
"Population ages 0-14, male",SP.POP.0014.MA.IN,Colombia,COL,6018303,6475117,6500328,6518801,6530073,6533488,6528094,6512552,6485776,6445683,5925823,5859356,5802571,5762549,5736828,5716525,5695619,5675317
"Population ages 0-14, male",SP.POP.0014.MA.IN,Costa Rica,CRI,575201,629771,629932,628790,626277,622287,617152,611538,605748,600176,568974,565108,561191,557911,555150,551722,546866,540875
"Population ages 0-14, male",SP.POP.0014.MA.IN,Bolivia,BOL,1468224,1646867,1666001,1684155,1700982,1716379,1730076,1742527,1753957,1765616,1857728,1867047,1876353,1885394,1893693,1901305,1908392,1914094
"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,Argentina,ARG,31.533583044135,29.6708676744275,29.4557862445565,29.244469269593,29.0217107394432,28.7861262456793,28.5393918966357,28.2813294395697,28.0136845276675,27.7376092772244,25.8426757835505,25.6726975002547,25.512305968022,25.3326922732533,25.1066416136364,24.8402793796158,24.5443361521055,24.2302304823244
"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,Colombia,COL,36.963891633812,34.3355491337602,33.914758616451,33.4814569649861,33.0308097606613,32.5591126344206,32.0665130856064,31.5477299294642,31.0021783534799,30.423378256361,25.6967647821521,25.1773008885406,24.672928248282,24.1367666878705,23.5782135953047,23.0697568910439,22.6559763560162,22.3303662095833
"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,Costa Rica,CRI,36.1363113069957,32.7311891442534,32.0753179811636,31.3985954797388,30.7073020467972,30.0029940942576,29.2919483896139,28.5928225954825,27.9137860919073,27.2704450753682,23.4120712336185,23.017983808605,22.6351788758793,22.290928094631,21.9820294978523,21.6669340401681,21.323454294629,20.9744018495847
"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,Bolivia,BOL,41.3696039816959,39.4109843478852,39.1160962335507,38.8067802405892,38.4983972411227,38.1824368207416,37.8320973751035,37.4581746043603,37.0659948133822,36.6760959577506,33.8176443769813,33.4679606930653,33.1293477950926,32.7978287335668,32.4667108598809,32.1362052283354,31.8475343798862,31.593284660497
"Population ages 05-09, female",SP.POP.0509.FE,Argentina,ARG,1618535,1701890,1719238,1732076,1737117,1735509,1728922,1721001,1714078,1708382,1706438,1716541,1728751,1744023,1762340,1780858,1797456,1809200
"Population ages 05-09, female",SP.POP.0509.FE,Colombia,COL,1950496,2112379,2125405,2132836,2134461,2130676,2122384,2111360,2098839,2084219,1880542,1852449,1830432,1816632,1809897,1807033,1805843,1806524
"Population ages 05-09, female",SP.POP.0509.FE,Costa Rica,CRI,186720,203351,202656,201709,200501,199234,197706,195981,194398,192754,180744,181419,181647,181394,180200,178504,176980,175360
"Population ages 05-09, female",SP.POP.0509.FE,Bolivia,BOL,464875,534139,539326,543383,547092,550576,553973,558232,562828,566552,598827,603603,607155,609579,611799,613707,615154,616168
"Population ages 05-09, female (% of female population)",SP.POP.0509.FE.5Y,Argentina,ARG,9.76542012041529,9.26447683718843,9.25290199645839,9.21805970698926,9.14446621731938,9.0384726654854,8.91267307686558,8.78429187360597,8.66073848910295,8.54501134836548,7.91373694788725,7.87709717043141,7.85115367493877,7.8403802766116,7.84395875707613,7.84875277474698,7.84535866645678,7.82169271523903
"Population ages 05-09, female (% of female population)",SP.POP.0509.FE.5Y,Colombia,COL,11.9517038776072,11.0676492158482,10.9453299333567,10.8017694989038,10.6360196870367,10.4508884019458,10.2532052687218,10.0518072553009,9.85345121572436,9.65528389893784,7.96253663670468,7.76794130351021,7.59263454118882,7.4217617164975,7.25528440397056,7.11203163100846,7.0018136118793,6.92119580693245
"Population ages 05-09, female (% of female population)",SP.POP.0509.FE.5Y,Costa Rica,CRI,11.9195978295563,10.7176155412303,10.459575441035,10.2049138236769,9.95675166197469,9.72565827369737,9.49729284928873,9.27054547312274,9.0593826740786,8.85269746323729,7.48722624373377,7.43465882022685,7.3663295911134,7.28202626875138,7.16426360355303,7.0328222536361,6.91736079544011,6.80954529639455
"Population ages 05-09, female (% of female population)",SP.POP.0509.FE.5Y,Bolivia,BOL,13.1055807291087,13.0016899015451,12.9027365258072,12.7770462353126,12.6414327025613,12.4978165889302,12.3534999182154,12.2302614577912,12.1157962092628,11.9814265809511,11.0411096506261,10.9517557634732,10.8434237369441,10.7188167256579,10.595409620181,10.4711820791244,10.349364847394,10.2337846759426
"Population ages 05-09, male",SP.POP.0509.MA,Argentina,ARG,1681742,1782868,1801712,1815871,1821548,1820218,1814053,1806487,1799683,1794113,1804940,1817151,1830756,1846880,1865955,1885155,1901857,1912669
"Population ages 05-09, male",SP.POP.0509.MA,Colombia,COL,2018093,2186322,2199857,2207670,2209848,2207063,2200037,2190352,2179176,2165737,1959930,1930374,1907153,1892398,1884949,1881583,1880087,1880579
"Population ages 05-09, male",SP.POP.0509.MA,Costa Rica,CRI,195561,213546,212671,211494,210027,208530,206835,205038,203440,201809,188795,189533,189810,189533,188236,186432,184804,183047
"Population ages 05-09, male",SP.POP.0509.MA,Bolivia,BOL,482314,555212,561128,565707,569542,572672,575504,579278,583499,586964,620956,626159,630013,632613,634930,636876,638309,639284
"Population ages 05-09, male (% of male population)",SP.POP.0509.MA.5Y,Argentina,ARG,10.4693272154529,9.9807119517574,9.9693548267953,9.93324096109757,9.85465959869129,9.74228793565893,9.60848612993166,9.46944962680455,9.33487171410164,9.20808339988545,8.55157744884582,8.51506265407062,8.48699712723463,8.47165802777215,8.47121391628429,8.47297950605258,8.46560466886097,8.43395620558119
"Population ages 05-09, male (% of male population)",SP.POP.0509.MA.5Y,Colombia,COL,12.3949540993367,11.5933915098709,11.477518688763,11.3388936642125,11.1779883340337,10.9987228243868,10.8067578810254,10.6103772141031,10.416518087523,10.2221945842209,8.49904902652058,8.29470187043879,8.10934695395539,7.92641677205425,7.74709332881565,7.59336794851477,7.47859128555709,7.39941424518827
"Population ages 05-09, male (% of male population)",SP.POP.0509.MA.5Y,Costa Rica,CRI,12.2858533058039,11.0986433175326,10.8289392582718,10.5609417331571,10.2979475151673,10.0541058385802,9.8170465016993,9.58667353350494,9.37482359419695,9.16967897785812,7.76851995488543,7.72006658059986,7.65582390757996,7.57265990613135,7.45349780159907,7.32146535340133,7.20589622954182,7.09828943658941
"Population ages 05-09, male (% of male population)",SP.POP.0509.MA.5Y,Bolivia,BOL,13.5899829827245,13.2867263399231,13.1747363156804,13.0351860411637,12.8904793882017,12.7396177994532,12.5847207681984,12.452426988076,12.3309655112003,12.1926591535615,11.3037433029503,11.2242864864957,11.123663720222,11.0047699983361,10.8856579018316,10.7645947604416,10.6522054935558,10.5517791642121
"Population ages 10-14, female",SP.POP.1014.FE,Argentina,ARG,1581963,1626493,1635877,1649084,1665351,1682156,1699391,1716766,1729539,1734429,1691157,1690239,1693838,1699890,1707944,1719302,1733809,1751349
"Population ages 10-14, female",SP.POP.1014.FE,Colombia,COL,1796803,2007032,2027884,2049116,2070335,2090167,2107389,2120484,2127988,2129076,2013270,1988227,1961733,1936236,1912282,1888485,1865486,1846096
"Population ages 10-14, female",SP.POP.1014.FE,Costa Rica,CRI,160138,200425,202867,204220,204642,204442,203883,203098,202077,200814,185148,182425,180222,179346,179882,180887,181544,181739
"Population ages 10-14, female",SP.POP.1014.FE,Bolivia,BOL,416324,480591,490644,500474,510545,520207,528226,534591,539459,543556,573145,575883,580320,585980,591371,596460,601314,604961
"Population ages 10-14, female (% of female population)",SP.POP.1014.FE.5Y,Argentina,ARG,9.54476916782595,8.85404269626657,8.8042548845828,8.77637595856696,8.76667822062938,8.76061195081783,8.76044193606689,8.76267568227731,8.73886098248452,8.6752885934084,7.8428717377819,7.75640026914064,7.692595041395,7.641974208582,7.60184485991768,7.57745721412083,7.56755878400357,7.57158267972695
"Population ages 10-14, female (% of female population)",SP.POP.1014.FE.5Y,Colombia,COL,11.0099440744427,10.5156889966988,10.4431198738452,10.3777662790916,10.316479813293,10.2521956339338,10.1807670470706,10.0952426066829,9.99029508718835,9.86308931737003,8.52452985127428,8.33730634565775,8.13727142483764,7.91039600096408,7.66571445969072,7.43260846425563,7.2330660897229,7.0728049946745
"Population ages 10-14, female (% of female population)",SP.POP.1014.FE.5Y,Costa Rica,CRI,10.2226619853176,10.5634270481033,10.470465670873,10.3319762803256,10.1623910783977,9.97986370781142,9.79399618294392,9.60722661774876,9.41724129173027,9.22289654082822,7.66965965439971,7.47590590419325,7.30854173459274,7.19980971363709,7.15164066407396,7.12672901114037,7.09574775364933,7.05723325732676
"Population ages 10-14, female (% of female population)",SP.POP.1014.FE.5Y,Bolivia,BOL,11.7368351463836,11.6982567299401,11.7380653048433,11.7680662902881,11.7969783479463,11.8084545535541,11.7793352222027,11.7123235825119,11.6127396926316,11.4950972124751,10.5675880136816,10.4487962119773,10.3641492851692,10.3038526998158,10.2416280602049,10.1769022912618,10.116512150762,10.0476421812263
"Population ages 10-14, male",SP.POP.1014.MA,Argentina,ARG,1648676,1696572,1708531,1723846,1741967,1760480,1779190,1798031,1812144,1817792,1776538,1776707,1782832,1792369,1803830,1818097,1834998,1854312
"Population ages 10-14, male",SP.POP.1014.MA,Colombia,COL,1857793,2075682,2097427,2119702,2141852,2162345,2180120,2193724,2201608,2203019,2093828,2068801,2042229,2016260,1991227,1966236,1942201,1921834
"Population ages 10-14, male",SP.POP.1014.MA,Costa Rica,CRI,166524,210227,212897,214388,214870,214630,213949,212993,211747,210231,193910,190934,188479,187383,187848,188904,189622,189865
"Population ages 10-14, male",SP.POP.1014.MA,Bolivia,BOL,431495,500524,510863,521056,531381,541127,549310,555854,560829,564894,592729,595624,600338,606381,612221,617792,623072,627023
"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y,Argentina,ARG,10.2634818636058,9.4976136466979,9.45375940859549,9.42984518875338,9.42412256052816,9.42255436709715,9.42382749006916,9.42512662236585,9.3995063214809,9.32961324086582,8.41700943810096,8.3255481572664,8.26483213202874,8.22161157743865,8.18916948094828,8.17158066695947,8.16800187235939,8.17662671508845
"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y,Colombia,COL,11.4104024224195,11.0067017008437,10.9430986283503,10.8870805063071,10.8340443560845,10.7758742804908,10.7089190926074,10.6267140846858,10.5237436322883,10.3981642178716,9.0796848995125,8.88951227944155,8.68369933259323,8.4452177172105,8.18389108453972,7.93499380793671,7.72566574531106,7.56173613380774
"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y,Costa Rica,CRI,10.4616386896589,10.9261702480967,10.8404468934095,10.7054534704913,10.5353827536947,10.3482117157317,10.1546987365095,9.9585909079539,9.75759970599993,9.55237559292985,7.97899152229579,7.77711180885103,7.60211899459886,7.48675814338722,7.43813433686851,7.41854451552805,7.39377966811483,7.36270141127007
"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y,Bolivia,BOL,12.1580607490954,11.9779941156348,11.9945622538002,12.0063246483861,12.026757235048,12.0378590033314,12.0119176805351,11.9489046317027,11.8518748630992,11.7342015925379,10.7898966581628,10.6769277679192,10.5997146574287,10.5484449993298,10.4963198562318,10.4420419493592,10.3979197885678,10.3494039082308
"Population ages 15-19, female",SP.POP.1519.FE,Argentina,ARG,1409491,1608810,1609714,1609291,1610004,1613282,1619631,1628910,1642223,1658779,1710713,1705690,1702409,1702050,1703285,1703767,1706990,1715528
"Population ages 15-19, female",SP.POP.1519.FE,Colombia,COL,1654056,1885785,1911692,1934442,1955636,1975820,1995972,2016924,2038108,2059247,2086140,2071858,2059905,2058891,2064874,2062117,2044203,2015818
"Population ages 15-19, female",SP.POP.1519.FE,Costa Rica,CRI,141053,179322,184741,190002,194953,199086,202249,204407,205552,205833,196829,195208,193542,191191,188459,185780,182995,180667
"Population ages 15-19, female",SP.POP.1519.FE,Bolivia,BOL,365354,420719,427764,435722,445431,456971,469325,481828,493907,505120,550692,555504,559449,562961,566457,569313,572258,576958
"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y,Argentina,ARG,8.50416018543585,8.75778552825126,8.66344618041657,8.56460405487421,8.47532253335684,8.40192096939866,8.34927789636106,8.31424307180013,8.2976759297178,8.2969063730962,7.93356266410771,7.82730477980869,7.73152351950797,7.65168472791051,7.5811105856942,7.5089909548228,7.45050234221728,7.41672047699369
"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y,Colombia,COL,10.135262219046,9.88042455576561,9.84476116003258,9.797001314392,9.74493217663281,9.6913276199649,9.64251064900313,9.60221197270336,9.56833184417005,9.53959941119134,8.83307398322599,8.68799723675848,8.54449120579904,8.41149704032539,8.27740398454945,8.11597897371766,7.92600928809675,7.72304795843567
"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y,Costa Rica,CRI,9.00430896903926,9.45116696787577,9.53496396030692,9.61263025609295,9.68124152376772,9.71840920850948,9.71555102081991,9.6691229686786,9.57916078216271,9.45342991592501,8.15351829501811,7.99976231188574,7.8486858433134,7.67532489690313,7.49261905916759,7.31950676002578,7.15248059103774,7.01560568123218
"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y,Bolivia,BOL,10.2999363151237,10.2409007290857,10.2337476539707,10.2454965070154,10.2924026604957,10.3730384059028,10.4658533400842,10.5563321659894,10.632157278083,10.6822642838963,10.1535930726672,10.0790405185398,9.99141499370367,9.89909616653704,9.81016453492264,9.71370701420716,9.6276737451161,9.58255583652013
"Population ages 15-19, male",SP.POP.1519.MA,Argentina,ARG,1438989,1669746,1669307,1669315,1671835,1677977,1687547,1699543,1715063,1733522,1793118,1788454,1785537,1785669,1787390,1788392,1792882,1804059
"Population ages 15-19, male",SP.POP.1519.MA,Colombia,COL,1703421,1939011,1965928,1989987,2012656,2034256,2055871,2078398,2101259,2123511,2152258,2139133,2128707,2128417,2134154,2131193,2113654,2085844
"Population ages 15-19, male",SP.POP.1519.MA,Costa Rica,CRI,144516,186590,192426,198118,203512,208058,211583,214007,215319,215682,205559,203942,202313,200013,197237,194364,191318,188707
"Population ages 15-19, male",SP.POP.1519.MA,Bolivia,BOL,376712,435686,443632,452406,462978,475364,488231,500957,513161,524453,569272,573755,577483,580973,584545,587496,590589,595557
"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,Argentina,ARG,8.95812003294049,9.34744123434776,9.23672528269257,9.131547725994,9.04470777192363,8.98097917642674,8.93842256986955,8.90886098920894,8.89595184599857,8.89710937944874,8.49556547054381,8.38059125411191,8.27737040163185,8.19088086685827,8.11453661103961,8.03807276274445,7.98053047626158,7.9550369359053
"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,Colombia,COL,10.4622600039935,10.2819775243291,10.2570168116628,10.2208464564851,10.1805348644619,10.1375505950988,10.0986031079018,10.0680585066812,10.0440751863684,10.0228941770297,9.33306100713859,9.19172683439444,9.05140756961279,8.91499788624474,8.77131938527366,8.60069660560643,8.40766977580678,8.20705953158069
"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,Costa Rica,CRI,9.07904396001014,9.69767968240216,9.79808937613597,9.89301187877493,9.97850702389086,10.0313246866205,10.0423773963804,10.0060244583189,9.92220288078597,9.80003221512616,8.45834411751514,8.30697460906911,8.1601015452414,7.99136107946952,7.80990642541275,7.63296693673026,7.45991027137722,7.31781516639321
"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,Bolivia,BOL,10.6144745319193,10.4263514458622,10.4160427600319,10.4244597619363,10.4786005718464,10.5749003021108,10.6762955694109,10.7688134071708,10.844517592034,10.8941547881349,10.3629001539219,10.2849034844442,10.1961811837929,10.106462786298,10.0218157204687,9.92996495923912,9.85583857084008,9.83002195080768
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Argentina,ARG,60.8964173025107,61.7893840165075,61.9345409660663,62.0778819195666,62.2333431184235,62.4007206751966,62.5849056211905,62.7739293618823,62.9570460711144,63.1412680705113,64.1135466076325,64.1583072712133,64.2036604565357,64.2627108587214,64.3470942996825,64.4598576572582,64.6161477991667,64.8213554497471
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Colombia,COL,59.8245673095099,62.0473218792189,62.3965567166938,62.7551867059085,63.1279303928736,63.5182467950458,63.9223607983855,64.3417108684843,64.7731895594935,65.2173567944916,68.262574830037,68.494771446898,68.7125510794214,68.9695064413545,69.2497486883399,69.4679281743718,69.6053276353906,69.6843191903994
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Costa Rica,CRI,59.5286762129766,62.168711302849,62.7158887894951,63.2719452501984,63.8310504789708,64.3897950406816,64.9421687693329,65.4766583752655,65.9858564415612,66.4557681214635,68.5718965746982,68.7018537592217,68.8077642888414,68.8594341650611,68.8671828348808,68.869865394678,68.8812253506419,68.9212579771232
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Bolivia,BOL,55.5847652688727,56.0977783323326,56.2568072659816,56.4564437352083,56.7527135572903,57.1377459206886,57.5492764020669,57.975626605922,58.4100231322411,58.8340622965551,61.701233971368,62.0503106130246,62.3798839662433,62.696047368494,63.0051206587803,63.3055396457316,63.6195579450078,63.9678580322054
"Population ages 15-64, female",SP.POP.1564.FE.IN,Argentina,ARG,10018784,11229382,11382355,11534450,11686710,11839762,11991973,12144089,12299087,12456210,13610675,13761314,13911380,14063415,14219710,14381104,14550411,14728701
"Population ages 15-64, female",SP.POP.1564.FE.IN,Colombia,COL,9797702,11896769,12173058,12449911,12729140,13011533,13294080,13576958,13858038,14137335,16146593,16352027,16575223,16883302,17267700,17633894,17924448,18149552
"Population ages 15-64, female",SP.POP.1564.FE.IN,Costa Rica,CRI,937087,1182628,1217836,1252930,1287295,1320583,1353026,1384875,1416170,1446712,1651916,1672361,1691849,1709531,1725553,1740439,1753787,1765378
"Population ages 15-64, female",SP.POP.1564.FE.IN,Bolivia,BOL,1979857,2300289,2345307,2393146,2447439,2508323,2571834,2637364,2704596,2773306,3337490,3410825,3483612,3556114,3628433,3700465,3771200,3840539
"Population ages 15-64, female (% of female population)",SP.POP.1564.FE.ZS,Argentina,ARG,60.4482820557639,61.1287153899139,61.2595874901829,61.3860181581422,61.5207585597216,61.6611011717042,61.819194738222,61.9855847311187,62.1437339686949,62.3036469175546,63.1205612639237,63.1497965315999,63.1787960700597,63.2230766525384,63.2901659120952,63.381661329267,63.5082155327598,63.6764031919867
"Population ages 15-64, female (% of female population)",SP.POP.1564.FE.ZS,Colombia,COL,60.0356027221992,62.3322143233539,62.6883638550788,63.0526828957505,63.4293102366621,63.8211093598207,64.2235137863663,64.6374706138317,65.059527565295,65.4921655284177,68.3674560335197,68.5695639740668,68.7540653017554,68.9759074599505,69.2205719359092,69.4026321639762,69.4986443953965,69.5349934498525
"Population ages 15-64, female (% of female population)",SP.POP.1564.FE.ZS,Costa Rica,CRI,59.820427705075,62.3304150571876,62.8555421334476,63.3885581560538,63.9262479025127,64.4645942964258,64.9959480407684,65.5091631197085,65.9966739979761,66.4439486309454,68.4297615834756,68.5345195882668,68.6093321913642,68.6287840239745,68.6033105099986,68.5710019399911,68.547944231015,68.5526379146448
"Population ages 15-64, female (% of female population)",SP.POP.1564.FE.ZS,Bolivia,BOL,55.8153961782872,55.9922618696263,56.1086954701449,56.2721118507528,56.5520424514732,56.9377539155271,57.3514321671158,57.7818026902185,58.2209184241839,58.6498012989297,61.5362404830577,61.8858610858759,62.2151673683321,62.5305982997359,62.8388736106371,63.1379566924573,63.4467111712177,63.7865278175696
"Population ages 15-64, male",SP.POP.1564.MA.IN,Argentina,ARG,9856380,11158886,11318532,11478301,11638654,11800768,11964379,12129834,12298546,12469974,13746255,13911426,14075232,14240976,14411209,14586325,14770305,14965150
"Population ages 15-64, male",SP.POP.1564.MA.IN,Colombia,COL,9705940,11646724,11902674,12159621,12419686,12684170,12950963,13220250,13489811,13758026,15716975,15922523,16149786,16464607,16856472,17230258,17526007,17749414
"Population ages 15-64, male",SP.POP.1564.MA.IN,Costa Rica,CRI,942980,1193101,1228980,1264782,1299920,1333966,1367148,1399716,1431706,1462835,1669905,1690762,1710836,1729200,1745859,1761271,1775070,1786794
"Population ages 15-64, male",SP.POP.1564.MA.IN,Bolivia,BOL,1964545,2348493,2402235,2457962,2516201,2577270,2640622,2705831,2772738,2841030,3398426,3470608,3542244,3613513,3684512,3755228,3822533,3886441
"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,Argentina,ARG,61.3587978297777,62.4688013181561,62.628467605498,62.789020283664,62.9656753005985,63.1608327074306,63.3716560614054,63.5835475397836,63.7919662985063,64.0007557956156,65.128006843611,65.188136959261,65.249798240061,65.3234909454353,65.4251581198511,65.5594092456362,65.7460443728275,65.989145362052
"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,Colombia,COL,59.6130361605724,61.7589892687837,62.1009174548863,62.453482967503,62.8219987168206,63.2105399716698,63.6161526642699,64.0407748913174,64.4816482371168,64.937363740589,68.1551613185791,68.4181310513945,68.6699953416466,68.9629438786565,69.2796627454022,69.5348811493916,69.7147755507126,69.8376759473248
"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,Costa Rica,CRI,59.2415534189182,62.0092527890769,62.5781125288868,63.1568474170275,63.7370565924501,64.3159169618574,64.8890325437615,65.4445299812066,65.9751597588554,66.4674614730491,68.7130826081357,68.868172571082,69.0051260663843,69.088989831229,69.1299883744504,69.1677641416201,69.2137086868942,69.2893741558381
"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,Bolivia,BOL,55.3542570167909,56.2015152796904,56.4021654720726,56.6370788272211,56.9492718837187,57.333741471886,57.7432833209874,58.1658015595038,58.5956677170714,59.015051067941,61.8641324119682,62.2127811980353,62.5427270087664,62.859725378703,63.1696992852649,63.471551217291,63.791008941428,64.1480622334035
